"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"LONDON, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,421,14.83,4.6,22.14,11.1,11.57,12.46,12.78,13.08,13.80,16.82,19.82,22.32,25.10,35.98,,,,,,,,
"LONDON, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,22,15.03,4.6,17.30,6.2,11.44,11.97,12.04,12.74,14.19,16.80,18.17,18.92,19.89,x,,,,,,,,
"LONDON, Wholesale trade, except of motor vehicles and motorcycles ",46,115,19.42,6.5,26.94,15.7,11.98,13.15,13.95,14.75,16.41,22.40,26.31,28.74,33.81,x,,,,,,,,
"LONDON, Retail trade, except of motor vehicles and motorcycles ",47,285,13.99,5.6,20.24,7.6,11.50,12.31,12.58,12.89,13.34,15.24,17.60,19.25,22.01,30.75,,,,,,,,
"LONDON, TRANSPORTATION AND STORAGE ",H,198,21.49,7.1,25.65,4.6,13.83,16.06,16.99,17.93,19.47,23.62,27.24,30.03,34.22,42.71,,,,,,,,
"LONDON, Land transport and transport via pipelines ",49,75,22.19,4.7,24.90,3.2,15.20,17.24,18.10,18.67,20.19,23.66,28.47,32.05,35.59,40.82,,,,,,,,
"LONDON, Water transport ",50,x,33.28,,36.71,50.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Air transport ",51,36,22.67,17.2,32.35,19.0,16.64,18.34,19.05,20.24,21.46,24.61,27.44,x,x,x,,,,,,,,
"LONDON, Warehousing and support activities for transportation ",52,59,21.60,-3.7,25.29,-2.2,12.80,14.22,14.96,16.00,18.33,24.19,28.83,31.33,34.60,x,,,,,,,,
"LONDON, Postal and courier activities ",53,27,17.88,4.8,20.39,3.4,12.84,14.46,14.98,16.13,16.99,18.82,21.12,21.82,23.27,x,,,,,,,,
"LONDON, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,254,13.26,9.1,15.78,5.5,11.44,11.56,11.67,12.00,12.61,14.04,15.20,15.96,16.83,20.48,,,,,,,,
"LONDON, Accommodation ",55,52,14.38,7.0,16.64,-1.0,11.44,12.08,12.56,12.92,13.57,15.17,16.25,16.97,18.10,x,,,,,,,,
"LONDON, Food and beverage service activities ",56,202,13.12,9.8,15.52,7.7,11.44,11.50,11.62,11.82,12.43,13.75,14.92,15.51,16.37,20.09,,,,,,,,
"LONDON, INFORMATION AND COMMUNICATION ",J,356,28.11,9.0,33.06,8.9,15.23,18.24,19.68,21.13,24.64,32.21,37.56,40.69,44.26,56.61,,,,,,,,
"LONDON, Publishing activities ",58,49,24.80,14.6,28.67,15.4,15.10,16.73,18.31,19.59,22.06,27.88,31.51,33.78,36.59,x,,,,,,,,
"LONDON, Motion picture, video and television programme production, sound recording and music publishing activities ",59,33,21.97,6.4,27.42,-11.9,12.90,15.86,16.67,17.31,20.35,25.59,29.63,30.70,x,x,,,,,,,,
"LONDON, Programming and broadcasting activities ",60,25,27.89,-0.3,30.96,8.6,16.22,19.33,20.84,21.47,23.87,32.08,34.89,39.06,42.81,x,,,,,,,,
"LONDON, Telecommunications ",61,53,26.12,9.9,29.97,4.8,15.60,18.71,19.53,20.44,23.02,28.17,33.02,35.67,37.44,x,,,,,,,,
"LONDON, Computer programming, consultancy and related activities ",62,163,30.44,8.3,33.77,9.7,15.12,18.65,20.29,21.76,25.99,33.55,39.63,41.99,45.15,56.74,,,,,,,,
"LONDON, Information service activities ",63,34,41.34,11.5,46.69,18.2,17.39,21.72,27.20,29.53,37.68,48.22,57.25,61.66,66.03,x,,,,,,,,
"LONDON, FINANCIAL AND INSURANCE ACTIVITIES ",K,386,40.67,6.0,50.97,7.8,18.51,23.86,26.79,29.09,34.47,47.19,55.86,60.51,66.33,86.44,,,,,,,,
"LONDON, Financial service activities, except insurance and pension funding ",64,221,44.71,2.1,56.19,7.5,20.81,27.40,30.65,33.57,39.47,52.78,60.44,65.09,69.23,92.96,,,,,,,,
"LONDON, Insurance, reinsurance and pension funding, except compulsory social security ",65,32,39.45,10.3,45.97,11.1,18.08,24.84,28.55,31.71,35.52,45.24,53.23,59.00,63.54,x,,,,,,,,
"LONDON, Activities auxiliary to financial services and insurance activities ",66,133,31.73,5.8,43.80,11.2,16.50,20.00,21.65,23.63,27.94,38.14,46.29,51.41,57.63,x,,,,,,,,
"LONDON, REAL ESTATE ACTIVITIES ",L,78,19.17,0.9,24.47,-1.4,12.12,13.55,14.30,14.96,17.35,22.40,25.60,28.58,31.27,x,,,,,,,,
"LONDON, Real estate activities ",68,78,19.17,0.9,24.47,-1.4,12.12,13.55,14.30,14.96,17.35,22.40,25.60,28.58,31.27,x,,,,,,,,
"LONDON, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,614,27.37,4.6,33.55,3.9,14.78,17.58,19.16,20.44,23.77,31.13,36.02,39.70,43.62,59.04,,,,,,,,
"LONDON, Legal and accounting activities ",69,202,30.37,6.6,39.00,5.9,15.18,18.34,19.71,21.46,26.28,36.35,43.19,47.41,52.26,71.31,,,,,,,,
"LONDON, Activities of head offices; management consultancy activities ",70,191,27.39,3.5,33.63,3.7,14.48,17.33,19.16,20.44,24.22,31.14,35.88,40.56,43.82,58.77,,,,,,,,
"LONDON, Architectural and engineering activities; technical testing and analysis ",71,104,24.59,8.0,27.45,5.5,14.76,16.82,17.90,19.57,21.56,27.34,30.93,33.22,35.16,x,,,,,,,,
"LONDON, Scientific research and development ",72,24,28.23,-1.9,32.72,-5.2,18.19,21.35,22.63,23.09,26.06,29.62,32.03,35.90,x,x,,,,,,,,
"LONDON, Advertising and market research ",73,52,25.55,3.4,30.39,-4.5,14.70,16.76,18.30,19.68,22.30,29.60,33.92,35.65,40.17,x,,,,,,,,
"LONDON, Other professional, scientific and technical activities ",74,40,24.01,13.6,27.92,16.3,14.21,16.40,17.13,18.58,21.62,27.87,33.08,34.49,36.00,x,,,,,,,,
"LONDON, Veterinary activities ",75,x,x,,25.72,26.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,275,16.51,10.0,23.41,13.4,11.66,12.61,13.15,13.34,14.78,18.95,22.55,24.67,28.20,38.26,,,,,,,,
"LONDON, Rental and leasing activities ",77,15,17.65,5.4,22.08,7.5,11.98,12.78,13.17,13.91,15.71,21.92,24.06,x,x,x,,,,,,,,
"LONDON, Employment activities ",78,88,15.85,9.9,20.52,12.3,11.65,12.61,13.15,13.67,14.91,17.58,19.58,20.94,23.32,x,,,,,,,,
"LONDON, Travel agency, tour operator and other reservation service and related activities ",79,18,19.89,-7.5,27.80,12.6,13.15,14.73,15.71,16.41,17.70,22.21,24.12,x,x,x,,,,,,,,
"LONDON, Security and investigation activities ",80,22,13.39,2.9,15.81,2.5,11.44,12.06,12.32,12.68,13.15,13.86,14.80,15.93,17.07,x,,,,,,,,
"LONDON, Services to buildings and landscape activities ",81,61,13.15,5.0,17.56,7.5,11.44,11.65,11.95,12.00,12.91,13.73,15.78,17.10,18.67,x,,,,,,,,
"LONDON, Office administrative, office support and other business support activities ",82,71,24.63,14.3,32.61,16.0,13.17,15.43,17.12,18.92,21.13,28.57,32.97,35.89,40.11,x,,,,,,,,
"LONDON, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,256,23.85,7.2,25.60,3.9,16.22,17.90,18.86,19.66,21.65,25.43,27.87,29.89,31.53,37.16,,,,,,,,
"LONDON, Public administration and defence; compulsory social security ",84,256,23.85,7.2,25.60,3.9,16.22,17.90,18.86,19.66,21.65,25.43,27.87,29.89,31.53,37.16,,,,,,,,
"LONDON, EDUCATION ",P,518,24.18,7.1,26.23,5.2,13.41,15.66,17.22,18.60,21.40,27.18,30.26,32.21,34.54,40.59,,,,,,,,
"LONDON, Education ",85,518,24.18,7.1,26.23,5.2,13.41,15.66,17.22,18.60,21.40,27.18,30.26,32.21,34.54,40.59,,,,,,,,
"LONDON, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,640,21.21,7.5,23.74,5.8,12.79,14.29,15.07,16.09,18.47,24.05,26.68,28.70,30.02,35.91,,,,,,,,
"LONDON, Human health activities ",86,456,23.62,7.3,25.88,4.8,14.29,16.32,17.41,18.54,21.22,26.32,28.88,30.00,31.96,38.36,,,,,,,,
"LONDON, Residential care activities ",87,68,13.75,4.1,16.74,1.3,11.46,11.87,12.12,12.46,13.13,14.83,17.64,19.15,20.07,x,,,,,,,,
"LONDON, Social work activities without accommodation ",88,116,16.00,0.4,19.28,2.8,11.80,12.81,13.12,13.50,14.31,18.26,20.96,23.21,25.00,31.35,,,,,,,,
"LONDON, ARTS, ENTERTAINMENT AND RECREATION ",R,118,16.60,7.8,21.50,-8.0,11.99,12.93,13.15,13.61,14.96,18.85,21.34,22.55,25.02,x,,,,,,,,
"LONDON, Creative, arts and entertainment activities ",90,24,19.81,7.3,22.75,-17.1,12.62,13.60,14.28,15.14,17.18,21.56,23.85,25.13,x,x,,,,,,,,
"LONDON, Libraries, archives, museums and other cultural activities ",91,24,18.11,10.2,21.00,14.5,13.31,14.82,15.62,16.17,16.92,19.52,21.74,23.00,25.00,x,,,,,,,,
"LONDON, Gambling and betting activities ",92,11,14.28,4.3,19.31,4.3,12.13,12.55,12.88,13.13,13.40,16.56,x,x,x,x,,,,,,,,
"LONDON, Sports activities and amusement and recreation activities ",93,60,15.02,10.5,21.66,,11.47,11.99,12.18,13.10,13.65,16.60,20.00,21.36,23.90,x,,,,,,,,
"LONDON, OTHER SERVICE ACTIVITIES ",S,88,19.04,13.7,23.31,8.4,11.47,13.11,14.00,14.90,16.76,21.36,25.02,26.11,29.45,x,,,,,,,,
"LONDON, Activities of membership organisations ",94,55,21.89,14.2,25.68,8.1,13.63,15.88,16.71,17.39,19.36,24.64,26.99,29.46,31.71,x,,,,,,,,
"LONDON, Repair of computers and personal and household goods ",95,x,x,,26.90,-1.1,x,x,14.73,15.15,x,32.11,x,x,x,x,,,,,,,,
"LONDON, Other personal service activities ",96,27,13.46,11.0,17.36,8.5,x,11.44,11.47,11.57,12.58,15.03,16.78,17.59,19.60,x,,,,,,,,
"LONDON, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,14,15.34,19.2,16.72,13.4,11.95,12.29,12.63,13.18,14.00,16.66,18.57,19.14,19.90,x,,,,,,,,
"LONDON, Activities of households as employers of domestic personnel ",97,14,15.34,19.2,16.72,13.4,11.95,12.29,12.63,13.18,14.00,16.66,18.57,19.14,19.90,x,,,,,,,,
"LONDON, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,x,x,,26.67,9.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Activities of extraterritorial organisations and bodies ",99,x,x,,26.67,9.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
South East All Industries and Services,,"3,947",17.75,6.9,21.98,6.7,11.75,12.65,13.24,13.97,15.63,20.37,23.65,25.58,27.69,35.32,,,,,,,,
South East All Index of Production Industries,,371,20.04,4.6,23.33,4.3,12.64,14.31,15.20,16.01,17.69,23.25,26.81,28.91,31.04,38.37,,,,,,,,
South East All Manufacturing,,316,19.99,4.9,23.33,5.0,12.63,14.22,15.07,16.00,17.69,23.36,26.77,28.76,30.81,38.19,,,,,,,,
South East All Service Industries,,"3,399",17.46,7.4,21.76,7.2,11.67,12.50,13.01,13.69,15.31,20.03,23.31,25.22,27.35,34.74,,,,,,,,
"SOUTH EAST, AGRICULTURE, FORESTRY AND FISHING ",A,28,13.93,7.0,15.35,7.0,11.49,11.83,12.10,12.34,13.00,14.76,16.64,17.61,18.64,x,,,,,,,,
"SOUTH EAST, Crop and animal production, hunting and related service activities ",1,25,13.69,5.3,15.21,6.8,11.44,11.78,12.00,12.20,12.78,14.48,16.07,17.17,18.36,x,,,,,,,,
"SOUTH EAST, Forestry and logging ",2,x,15.97,11.1,16.28,8.1,x,x,x,x,14.98,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, MINING AND QUARRYING ",B,x,x,,19.95,-17.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Other mining and quarrying ",8,x,x,,19.95,2.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Mining support service activities ",9,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, MANUFACTURING ",C,316,19.99,4.9,23.33,5.0,12.63,14.22,15.07,16.00,17.69,23.36,26.77,28.76,30.81,38.19,,,,,,,,
"SOUTH EAST, Manufacture of food products ",10,36,21.99,20.1,23.21,8.7,12.49,13.97,14.98,15.69,17.76,25.22,27.33,28.67,29.65,x,,,,,,,,
"SOUTH EAST, Manufacture of beverages ",11,x,x,,24.45,,x,x,x,13.52,14.70,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Manufacture of textiles ",13,x,x,,17.42,-11.2,x,x,x,x,13.14,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of wearing apparel ",14,x,12.58,5.2,13.57,-4.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of leather and related products ",15,..,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,15.44,0.1,18.21,,x,13.13,13.88,14.01,15.01,16.42,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of paper and paper products ",17,x,20.68,,23.12,-10.4,x,x,x,15.89,19.09,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Printing and reproduction of recorded media ",18,12,17.51,6.3,19.28,3.6,11.98,13.24,13.74,14.24,15.18,18.44,21.35,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of coke and refined petroleum products ",19,x,34.34,67.8,35.58,28.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of chemicals and chemical products ",20,9,16.60,5.5,24.82,0.4,x,13.72,14.17,14.62,16.05,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,28.31,15.6,31.98,26.2,x,x,x,20.34,23.85,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of rubber and plastic products ",22,13,13.97,1.6,17.57,-6.0,11.46,12.11,12.50,12.67,13.45,15.00,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of other non-metallic mineral products ",23,6,16.40,3.5,20.69,18.4,x,13.39,13.65,14.06,15.46,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of basic metals ",24,x,16.14,20.8,16.40,4.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Manufacture of fabricated metal products, except machinery and equipment ",25,44,20.02,4.5,21.82,3.1,12.53,13.98,15.18,15.79,17.28,21.77,24.87,26.56,28.50,x,,,,,,,,
"SOUTH EAST, Manufacture of computer, electronic and optical products ",26,41,25.87,11.4,27.14,8.4,13.73,15.69,16.57,17.91,20.58,29.02,32.44,33.69,36.65,x,,,,,,,,
"SOUTH EAST, Manufacture of electrical equipment ",27,16,18.58,8.9,21.57,6.8,12.44,13.52,14.23,15.26,17.20,21.57,25.64,27.75,x,x,,,,,,,,
"SOUTH EAST, Manufacture of machinery and equipment n.e.c. ",28,25,18.64,-1.7,22.79,2.1,12.60,14.56,14.80,15.24,17.19,21.38,25.54,26.24,28.56,x,,,,,,,,
"SOUTH EAST, Manufacture of motor vehicles, trailers and semi-trailers ",29,20,22.49,1.7,23.98,4.8,13.70,16.72,17.38,18.81,20.31,24.50,25.47,26.22,x,x,,,,,,,,
"SOUTH EAST, Manufacture of other transport equipment ",30,27,25.19,7.8,26.27,6.3,15.35,16.86,16.99,18.92,21.71,28.13,30.89,31.82,34.46,x,,,,,,,,
"SOUTH EAST, Manufacture of furniture ",31,x,16.66,10.6,17.78,11.8,x,13.37,13.84,13.97,15.83,18.65,x,x,x,x,,,,,,,,
"SOUTH EAST, Other manufacturing ",32,17,17.82,10.4,19.79,-3.1,12.38,13.17,14.63,15.29,16.21,19.08,21.56,22.38,25.14,x,,,,,,,,
"SOUTH EAST, Repair and installation of machinery and equipment ",33,17,22.62,1.8,25.92,7.6,14.03,16.09,16.54,16.73,18.96,24.21,29.92,x,x,x,,,,,,,,
"SOUTH EAST, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,17,25.64,-8.6,28.39,-7.7,15.88,17.64,18.36,19.56,22.70,29.53,32.33,33.60,39.54,x,,,,,,,,
"SOUTH EAST, Electricity, gas, steam and air conditioning supply ",35,17,25.64,-8.6,28.39,-7.7,15.88,17.64,18.36,19.56,22.70,29.53,32.33,33.60,39.54,x,,,,,,,,
"SOUTH EAST, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,37,17.92,-4.4,21.35,5.7,12.31,13.54,14.29,15.16,16.34,20.87,23.43,26.02,28.59,x,,,,,,,,
"SOUTH EAST, Water collection, treatment and supply ",36,10,21.54,-0.8,22.17,-2.4,x,14.64,16.46,18.29,20.76,22.55,24.24,x,x,x,,,,,,,,
"SOUTH EAST, Sewerage ",37,9,20.67,3.7,22.80,-3.2,x,14.87,15.52,16.12,17.18,21.50,x,x,x,x,,,,,,,,
"SOUTH EAST, Waste collection, treatment and disposal activities; materials recovery ",38,18,15.93,4.5,20.23,13.1,11.96,12.56,13.19,13.76,15.28,16.95,x,x,x,x,,,,,,,,
"SOUTH EAST, Remediation activities and other waste management services ",39,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, CONSTRUCTION ",F,149,20.20,6.3,23.98,4.2,12.81,15.00,15.68,16.71,18.58,22.34,25.21,27.36,29.77,38.32,,,,,,,,
"SOUTH EAST, Construction of buildings ",41,50,22.18,-3.4,27.71,2.0,13.48,15.35,16.59,17.57,20.10,25.52,30.31,32.93,35.42,x,,,,,,,,
"SOUTH EAST, Civil engineering ",42,23,22.39,7.7,25.47,6.5,14.22,16.94,17.75,18.28,19.82,25.40,28.36,31.74,34.67,x,,,,,,,,
"SOUTH EAST, Specialised construction activities ",43,77,18.93,8.2,21.16,7.6,12.22,14.14,15.03,15.73,17.32,20.99,22.49,23.76,25.16,x,,,,,,,,
"SOUTH EAST, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,549,14.58,5.3,20.10,9.2,11.44,11.89,12.06,12.42,13.28,16.39,19.18,21.17,23.62,33.73,,,,,,,,
"SOUTH EAST, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,71,15.81,4.1,18.65,6.4,11.50,12.46,12.87,13.34,14.70,17.09,19.50,20.76,22.50,x,,,,,,,,
"SOUTH EAST, Wholesale trade, except of motor vehicles and motorcycles ",46,198,19.23,8.9,24.69,11.2,12.29,13.77,14.51,15.32,17.10,22.01,26.41,30.17,33.23,45.04,,,,,,,,
"SOUTH EAST, Retail trade, except of motor vehicles and motorcycles ",47,280,12.63,8.3,16.33,8.9,11.37,11.50,11.58,11.78,12.10,13.32,14.53,15.53,16.92,22.96,,,,,,,,
"SOUTH EAST, TRANSPORTATION AND STORAGE ",H,149,17.13,2.3,21.91,3.1,12.59,14.03,14.56,14.96,15.91,19.28,22.37,24.54,26.89,34.47,,,,,,,,
"SOUTH EAST, Land transport and transport via pipelines ",49,47,17.33,2.8,24.12,6.2,12.60,13.74,14.20,14.74,15.99,19.84,22.59,24.58,30.31,x,,,,,,,,
"SOUTH EAST, Water transport ",50,x,21.36,,21.94,-28.5,x,x,x,x,19.48,22.64,x,x,x,x,,,,,,,,
"SOUTH EAST, Air transport ",51,x,x,,39.79,43.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Warehousing and support activities for transportation ",52,64,17.94,4.5,22.28,5.4,12.79,14.28,14.91,15.32,16.52,20.92,25.32,26.33,28.15,x,,,,,,,,
"SOUTH EAST, Postal and courier activities ",53,34,15.54,2.8,17.43,1.9,12.38,13.86,14.50,14.72,15.15,16.69,17.68,18.63,19.69,x,,,,,,,,
"SOUTH EAST, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,193,12.08,8.6,14.17,10.6,10.42,x,11.44,11.49,11.65,12.65,13.45,14.00,14.80,17.99,,,,,,,,
"SOUTH EAST, Accommodation ",55,46,12.54,7.2,15.24,11.5,11.16,11.44,11.55,11.79,12.25,13.46,14.58,15.39,16.28,x,,,,,,,,
"SOUTH EAST, Food and beverage service activities ",56,148,11.94,9.0,13.80,10.1,9.94,x,x,11.44,11.57,12.50,13.13,13.64,14.42,17.27,,,,,,,,
"SOUTH EAST, INFORMATION AND COMMUNICATION ",J,204,25.62,5.9,30.57,8.0,13.79,16.41,17.74,19.23,22.02,29.44,34.21,36.94,40.06,48.64,,,,,,,,
"SOUTH EAST, Publishing activities ",58,11,17.81,-15.1,20.66,-5.9,11.71,12.88,13.77,14.38,17.00,19.24,23.07,x,x,x,,,,,,,,
"SOUTH EAST, Motion picture, video and television programme production, sound recording and music publishing activities ",59,7,14.74,,21.96,3.3,x,11.47,11.82,12.39,14.00,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Programming and broadcasting activities ",60,x,x,,23.33,-10.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH EAST, Telecommunications ",61,48,25.40,4.4,29.39,7.4,13.79,17.01,19.51,20.16,23.05,29.30,33.99,36.11,40.06,x,,,,,,,,
"SOUTH EAST, Computer programming, consultancy and related activities ",62,127,27.78,7.6,32.70,9.8,14.94,17.33,18.96,20.36,23.02,31.70,36.62,38.95,41.76,52.03,,,,,,,,
"SOUTH EAST, Information service activities ",63,10,19.68,-0.9,24.97,1.5,x,14.34,15.12,15.42,17.30,24.65,x,x,x,x,,,,,,,,
"SOUTH EAST, FINANCIAL AND INSURANCE ACTIVITIES ",K,123,22.79,13.4,27.49,12.1,14.07,15.71,16.79,17.65,20.25,26.05,30.66,33.53,37.10,45.87,,,,,,,,
"SOUTH EAST, Financial service activities, except insurance and pension funding ",64,60,22.83,16.4,27.74,15.8,14.25,15.93,16.91,17.42,20.20,26.30,31.27,34.58,37.49,x,,,,,,,,
"SOUTH EAST, Insurance, reinsurance and pension funding, except compulsory social security ",65,15,23.62,13.0,28.16,11.7,x,15.86,16.89,17.25,20.72,29.85,34.77,37.52,x,x,,,,,,,,
"SOUTH EAST, Activities auxiliary to financial services and insurance activities ",66,48,22.45,10.9,26.94,8.6,13.74,15.29,16.09,17.85,20.25,24.96,29.46,31.13,33.11,x,,,,,,,,
"SOUTH EAST, REAL ESTATE ACTIVITIES ",L,52,17.36,4.3,20.10,6.0,12.05,13.23,13.65,14.38,15.93,19.03,21.33,23.30,24.64,x,,,,,,,,
"SOUTH EAST, Real estate activities ",68,52,17.36,4.3,20.10,6.0,12.05,13.23,13.65,14.38,15.93,19.03,21.33,23.30,24.64,x,,,,,,,,
"SOUTH EAST, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,331,21.61,5.5,26.13,8.4,12.78,14.57,15.46,16.81,19.22,24.79,28.06,30.22,33.17,41.03,,,,,,,,
"SOUTH EAST, Legal and accounting activities ",69,71,21.00,14.8,25.32,13.3,12.50,13.60,14.44,15.14,17.12,25.28,29.00,30.49,33.23,x,,,,,,,,
"SOUTH EAST, Activities of head offices; management consultancy activities ",70,87,21.64,5.6,28.78,15.9,13.00,15.04,16.49,17.54,19.98,24.90,28.26,31.54,33.72,x,,,,,,,,
"SOUTH EAST, Architectural and engineering activities; technical testing and analysis ",71,73,22.13,2.1,25.91,3.8,13.77,15.71,17.32,17.88,20.06,24.37,28.56,32.48,34.96,x,,,,,,,,
"SOUTH EAST, Scientific research and development ",72,42,26.36,7.1,28.87,1.7,17.40,19.53,20.35,20.91,23.32,27.89,31.09,33.10,34.36,x,,,,,,,,
"SOUTH EAST, Advertising and market research ",73,24,17.40,2.9,21.01,1.6,11.88,12.89,13.22,13.59,14.82,19.60,24.41,25.29,27.38,x,,,,,,,,
"SOUTH EAST, Other professional, scientific and technical activities ",74,22,20.04,10.3,23.04,6.3,12.02,13.26,14.19,14.80,17.06,22.15,25.70,x,x,x,,,,,,,,
"SOUTH EAST, Veterinary activities ",75,12,15.38,7.5,18.78,-3.1,11.44,11.87,12.00,12.22,13.84,16.42,x,x,x,x,,,,,,,,
"SOUTH EAST, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,205,14.84,7.3,19.63,7.8,11.50,12.00,12.20,12.51,13.43,17.17,19.78,21.70,24.16,32.03,,,,,,,,
"SOUTH EAST, Rental and leasing activities ",77,20,15.66,-8.3,20.21,4.3,11.97,12.40,12.53,13.13,14.04,19.12,21.88,x,x,x,,,,,,,,
"SOUTH EAST, Employment activities ",78,65,15.34,11.2,19.14,10.9,11.63,12.00,12.25,12.77,13.80,17.42,20.00,21.70,23.99,x,,,,,,,,
"SOUTH EAST, Travel agency, tour operator and other reservation service and related activities ",79,10,18.53,9.0,23.87,10.9,12.85,14.45,14.65,15.26,17.33,21.30,23.44,x,x,x,,,,,,,,
"SOUTH EAST, Security and investigation activities ",80,11,13.93,11.5,16.48,-5.6,11.73,12.31,12.47,12.76,12.91,14.54,16.83,x,x,x,,,,,,,,
"SOUTH EAST, Services to buildings and landscape activities ",81,55,12.71,6.9,17.16,8.4,11.44,11.50,11.70,11.96,12.12,13.28,14.78,16.08,17.92,x,,,,,,,,
"SOUTH EAST, Office administrative, office support and other business support activities ",82,44,18.33,12.0,22.53,5.5,11.81,12.53,13.26,14.21,15.56,19.75,24.35,25.38,26.93,x,,,,,,,,
"SOUTH EAST, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,184,19.51,11.4,21.53,9.8,13.66,15.33,15.89,16.84,17.94,22.65,24.15,24.95,26.11,30.27,,,,,,,,
"SOUTH EAST, Public administration and defence; compulsory social security ",84,184,19.51,11.4,21.53,9.8,13.66,15.33,15.89,16.84,17.94,22.65,24.15,24.95,26.11,30.27,,,,,,,,
"SOUTH EAST, EDUCATION ",P,655,19.81,5.8,21.92,6.5,12.10,13.20,13.96,14.93,17.41,22.50,25.38,26.78,28.02,33.44,,,,,,,,
"SOUTH EAST, Education ",85,655,19.81,5.8,21.92,6.5,12.10,13.20,13.96,14.93,17.41,22.50,25.38,26.78,28.02,33.44,,,,,,,,
"SOUTH EAST, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,577,16.63,8.1,19.40,6.1,11.74,12.45,12.86,13.44,14.61,18.95,21.80,22.98,24.55,29.48,,,,,,,,
